Name,Year,Genre,Publisher,Sales North America,Sales Europe,Sales Japan,Sales other regions,Sales worldwide,Platform,Console Developer
The King of Fighters: Evolution,2000,Fighting,SNK,0.0,0.0,0.07,0.0,0.07,Dreamcast,Sega
DS Uranai Seikatsu,2009,Misc,Nintendo,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
SpongeBob's Truth or Square,2009,Action,THQ,0.02,0.04,0.0,0.01,0.07,PlayStation Portable,Sony
Pitfall: The Lost Expedition,2003,Platform,Activision,0.05,0.02,0.0,0.0,0.07,Game Boy Advance,Nintendo
All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,0.05,0.02,0.0,0.0,0.07,Game Boy Advance,Nintendo
Pac-Man and the Ghostly Adventures 2,2014,Adventure,Namco Bandai Games,0.05,0.02,0.0,0.01,0.07,Nintendo Wii U,Nintendo
Tom Clancy's Splinter Cell: Chaos Theory,2005,Action,Ubisoft,0.06,0.0,0.0,0.01,0.07,Nintendo DS,Nintendo
Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,2012,Action,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,Nintendo 3DS,Nintendo
"Flower, Sun, and Rain",2008,Adventure,Rising Star Games,0.07,0.0,0.0,0.01,0.07,Nintendo DS,Nintendo
James Cameron's Dark Angel,2002,Action,Vivendi Games,0.05,0.02,0.0,0.0,0.07,Xbox,Microsoft
The Legend of Heroes: Trails in the Sky Third Chapter,2008,Role-Playing,Falcom Corporation,0.0,0.0,0.07,0.0,0.07,PlayStation Portable,Sony
Moxie Girlz,2011,Misc,GameMill Entertainment,0.07,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Dave Mirra BMX Challenge,2006,Sports,Oxygen Interactive,0.06,0.0,0.0,0.01,0.07,PlayStation Portable,Sony
Hannspree Ten Kate Honda: SBK Superbike World Championship,2007,Racing,Black Bean Games,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007,Racing,Midway Games,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Alexi Lalas International Soccer,1998,Sports,Take-Two Interactive,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Operation Flashpoint: Red River,2011,Shooter,Codemasters,0.01,0.04,0.0,0.01,0.07,Personal Computer,Various
F.E.A.R. 2: Project Origin,2009,Shooter,Warner Bros. Interactive Entertainment,0.01,0.05,0.0,0.01,0.07,Personal Computer,Various
NCAA College Football 2K3,2002,Sports,Sega,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Monster Rancher Battle Card: Episode II,2000,Action,Tecmo Koei,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Karaoke Revolution Party,2005,Misc,Konami Digital Entertainment,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Make 10: A Journey of Numbers,2007,Puzzle,Nintendo,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,2000,Sports,Nintendo,0.0,0.0,0.07,0.0,0.07,Nintendo 64,Nintendo
Jumper: Griffin's Story,2008,Action,Eidos Interactive,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Vampire Legends: Power of Three,2010,Adventure,THQ,0.07,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Famicom Mini: Nazo no Murasame-Jou,2004,Action,Nintendo,0.0,0.0,0.07,0.0,0.07,Game Boy Advance,Nintendo
Galerians: Ash,2002,Adventure,Sammy Corporation,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Mahjong Fight Club DS: Wi-Fi Taiou,2006,Misc,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Haunting Ground,2005,Action,Capcom,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
"Horrid Henry: The Good, The Bad and The Bugly",2011,Platform,Asylum Entertainment,0.0,0.06,0.0,0.01,0.07,Nintendo 3DS,Nintendo
Kane & Lynch 2: Dog Days,2010,Shooter,Square Enix,0.0,0.06,0.0,0.01,0.07,Personal Computer,Various
Vampire Knight DS,2009,Adventure,D3Publisher,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Disney Sports Skateboarding,2002,Sports,Konami Digital Entertainment,0.05,0.02,0.0,0.0,0.07,Game Boy Advance,Nintendo
Homie Rollerz,2008,Racing,Destineer,0.07,0.0,0.0,0.01,0.07,Nintendo DS,Nintendo
Operation Darkness,2007,Role-Playing,Success,0.07,0.0,0.0,0.0,0.07,Xbox 360,Microsoft
Magi: The Labyrinth of Beginning,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,Nintendo 3DS,Nintendo
The Wolf Among Us,2014,Adventure,Telltale Games,0.05,0.0,0.0,0.02,0.07,PlayStation Vita,Sony
Fantasy Aquarium by DS,2008,Simulation,Mercury Games,0.07,0.0,0.0,0.01,0.07,Nintendo DS,Nintendo
"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",2005,Misc,505 Games,0.07,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Damnation,2009,Shooter,Codemasters,0.06,0.01,0.0,0.01,0.07,Xbox 360,Microsoft
I Don't Have Many Friends Portable,2012,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,PlayStation Portable,Sony
Rock Band Country Track Pack 2,2011,Misc,MTV Games,0.07,0.0,0.0,0.01,0.07,PlayStation 3,Sony
Fable: The Lost Chapters,2005,Role-Playing,Microsoft Game Studios,0.01,0.05,0.0,0.01,0.07,Personal Computer,Various
Loons: The Fight For Fame,2002,Action,Atari,0.05,0.02,0.0,0.0,0.07,Xbox,Microsoft
Romance of the Three Kingdoms IX,2003,Strategy,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Second Sight,2004,Adventure,Codemasters,0.05,0.02,0.0,0.0,0.07,Xbox,Microsoft
Metal Gear Solid,2000,Action,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,Game Boy,Nintendo
Totaled!,2002,Racing,Rage Software,0.05,0.02,0.0,0.0,0.07,Xbox,Microsoft
Bleach: Heat the Soul 3,2006,Fighting,Sony Computer Entertainment,0.0,0.0,0.07,0.0,0.07,PlayStation Portable,Sony
Ecco: The Tides of Time,1993,Adventure,Sega,0.0,0.0,0.07,0.0,0.07,Genesis (Mega Drive),Sega
Showtime Championship Boxing,2007,Fighting,Zoo Digital Publishing,0.06,0.0,0.0,0.01,0.07,Nintendo Wii,Nintendo
Rock Band Track Pack: Classic Rock,2009,Misc,MTV Games,0.07,0.0,0.0,0.01,0.07,Xbox 360,Microsoft
Open Season,2006,Platform,Ubisoft,0.06,0.0,0.0,0.01,0.07,Nintendo Wii,Nintendo
Football Manager 2010,2009,Sports,Sega,0.0,0.06,0.0,0.01,0.07,Personal Computer,Various
Dave Mirra BMX Challenge,2007,Sports,505 Games,0.06,0.0,0.0,0.01,0.07,Nintendo Wii,Nintendo
Machine Head,1996,Shooter,Eidos Interactive,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Vanguard Bandits,1998,Strategy,Human Entertainment,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Lost Heroes,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,PlayStation Portable,Sony
The Legend of Heroes VII: The Trail of Zero,2012,Role-Playing,Falcom Corporation,0.0,0.0,0.07,0.0,0.07,PlayStation Vita,Sony
Bionicle Heroes,2006,Shooter,Eidos Interactive,0.05,0.01,0.0,0.01,0.07,Xbox 360,Microsoft
Shin Chan Contra ¡Los Plastas!,2009,Platform,505 Games,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Inversion,2012,Shooter,Namco Bandai Games,0.03,0.03,0.0,0.01,0.07,PlayStation 3,Sony
Silent Hill: Origins,2008,Action,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Blast Radius,1998,Action,Psygnosis,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Zumba Fitness Core,2012,Misc,505 Games,0.0,0.06,0.0,0.01,0.07,Xbox 360,Microsoft
ESPN National Hockey Night,2001,Sports,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Rec Room Games,2011,Sports,Destineer,0.07,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Theme Park,2007,Simulation,Electronic Arts,0.0,0.03,0.03,0.0,0.07,Nintendo DS,Nintendo
Yamaha Supercross,2009,Racing,Zoo Digital Publishing,0.05,0.01,0.0,0.01,0.07,Nintendo Wii,Nintendo
Pro Yaky? Spirits 2011,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,Nintendo 3DS,Nintendo
Microsoft Flight Simulator 2004: A Century of Flight,2003,Simulation,Microsoft Game Studios,0.0,0.06,0.0,0.01,0.07,Personal Computer,Various
Taz Wanted,2002,Platform,Atari,0.05,0.02,0.0,0.0,0.07,Xbox,Microsoft
Harry Potter and the Sorcerer's Stone,2003,Action,Electronic Arts,0.05,0.02,0.0,0.0,0.07,Xbox,Microsoft
Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Emergency 2012,2010,Simulation,Deep Silver,0.01,0.04,0.0,0.01,0.07,Personal Computer,Various
Haikyuu!! Tsunage! Itadaki no Keshiki!!,2014,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,Nintendo 3DS,Nintendo
Wallace & Gromit in Project Zoo,2003,Platform,BAM! Entertainment,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
John Madden Football,1991,Sports,Imagineer,0.0,0.0,0.07,0.0,0.07,Super Nintendo Entertainment System,Nintendo
Aero Gauge,1997,Racing,ASCII Entertainment,0.06,0.01,0.0,0.0,0.07,Nintendo 64,Nintendo
Battlezone: Rise of the Black Dogs,2000,Strategy,Crave Entertainment,0.06,0.01,0.0,0.0,0.07,Nintendo 64,Nintendo
Caesars Palace Advance: Millennium Gold Edition,2001,Misc,Majesco Entertainment,0.05,0.02,0.0,0.0,0.07,Game Boy Advance,Nintendo
Shadowgate 64: Trials of the Four Towers,1999,Adventure,Kemco,0.06,0.01,0.0,0.0,0.07,Nintendo 64,Nintendo
Teenage Mutant Ninja Turtles: Tournament Fighters,1992,Fighting,Konami Digital Entertainment,0.04,0.01,0.02,0.0,0.07,Nintendo Entertainment System,Nintendo
Super Robot Spirits,1998,Fighting,Banpresto,0.0,0.0,0.04,0.03,0.07,Nintendo 64,Nintendo
Mia Hamm Soccer 64,2000,Sports,THQ,0.06,0.01,0.0,0.0,0.07,Nintendo 64,Nintendo
MLB Front Office Manager,2009,Sports,Take-Two Interactive,0.06,0.0,0.0,0.01,0.07,Xbox 360,Microsoft
Samurai Warriors,2004,Action,Tecmo Koei,0.05,0.02,0.0,0.0,0.07,Xbox,Microsoft
GunParade Orchestra: Shiro no Shou,2006,Adventure,Sony Computer Entertainment,0.0,0.0,0.07,0.0,0.07,PlayStation 2,Sony
Hearts of Iron III,2009,Strategy,Paradox Interactive,0.01,0.04,0.0,0.01,0.07,Personal Computer,Various
Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,2009,Action,Irem Software Engineering,0.0,0.0,0.07,0.0,0.07,PlayStation Portable,Sony
BlazBlue: Chrono Phantasma Extend,2015,Action,PQube,0.0,0.05,0.0,0.01,0.07,PlayStation Vita,Sony
Crime Lab: Body of Evidence,2010,Adventure,City Interactive,0.05,0.01,0.0,0.0,0.07,Nintendo DS,Nintendo
Ant Nation,2009,Simulation,Konami Digital Entertainment,0.06,0.01,0.0,0.01,0.07,Nintendo DS,Nintendo
FIFA Soccer 2004,2003,Sports,Electronic Arts,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
MotoGP 15,2015,Racing,Milestone S.r.l.,0.0,0.03,0.03,0.01,0.07,PlayStation 3,Sony
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,2013,Strategy,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,PlayStation 3,Sony
The Sims 2: Seasons,2007,Simulation,Electronic Arts,0.01,0.04,0.0,0.01,0.07,Personal Computer,Various
Rayman 3: Hoodlum Havoc,2003,Platform,Ubisoft,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
NHL 2K9,2008,Sports,Take-Two Interactive,0.06,0.0,0.0,0.01,0.07,Nintendo Wii,Nintendo
Tales of Rebirth,2008,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,PlayStation Portable,Sony
The Guy Game,2004,Misc,Gathering of Developers,0.05,0.02,0.0,0.0,0.07,Xbox,Microsoft
Ultimate Marvel vs. Capcom 3,2011,Fighting,Capcom,0.0,0.03,0.04,0.0,0.07,Xbox 360,Microsoft
Battleborn,2016,Shooter,Take-Two Interactive,0.03,0.03,0.0,0.01,0.07,Personal Computer,Various
Let's Ride! Dreamer,2005,Adventure,DTP Entertainment,0.05,0.02,0.0,0.0,0.07,Game Boy Advance,Nintendo
Tecmo's Deception,1996,Role-Playing,Sunsoft,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Reader Rabbit 1st Grade,2010,Misc,Graffiti,0.07,0.0,0.0,0.0,0.07,Nintendo Wii,Nintendo
Anubis II,2007,Platform,Metro 3D,0.06,0.0,0.0,0.0,0.07,Nintendo Wii,Nintendo
Point Blank DS (JP sales),2006,Shooter,Atari,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Ghost in the Shell: Stand Alone Complex,2005,Adventure,Atari,0.06,0.0,0.0,0.01,0.07,PlayStation Portable,Sony
Guilty Gear Xrd -Revelator-,2016,Fighting,PQube,0.01,0.02,0.02,0.01,0.07,PlayStation 3,Sony
G-Saviour,2000,Action,Sunrise Interactive,0.0,0.0,0.07,0.0,0.07,PlayStation 2,Sony
Gintama DS: Yorozuya Daisoudou,2006,Action,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Heavenly Guardian,2007,Shooter,505 Games,0.06,0.0,0.0,0.0,0.07,Nintendo Wii,Nintendo
Cut the Rope,2014,Puzzle,Activision,0.06,0.0,0.0,0.01,0.07,Nintendo 3DS,Nintendo
Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,2010,Action,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Crimson Sea 2,2004,Action,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
The Legend of Heroes: Trails in the Sky First Chapter,2015,Role-Playing,Kadokawa Shoten,0.0,0.0,0.07,0.0,0.07,PlayStation Vita,Sony
Pizza Delivery Boy,2010,Simulation,Majesco Entertainment,0.06,0.0,0.0,0.0,0.07,Nintendo Wii,Nintendo
Doraemon: Nobita to Himitsu Dougu Hakubutsukan,2013,Action,FuRyu,0.0,0.0,0.07,0.0,0.07,Nintendo 3DS,Nintendo
Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,2008,Adventure,Alchemist,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
IA/VT Colorful,2015,Misc,Marvelous Entertainment,0.0,0.0,0.07,0.0,0.07,PlayStation Vita,Sony
AMF Bowling Pinbusters!,2008,Sports,Vir2L Studios,0.06,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Operation: Vietnam,2007,Shooter,Majesco Entertainment,0.06,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Alpha and Omega,2010,Action,Unknown,0.06,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
RayStorm,1997,Shooter,Sony Computer Entertainment,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,2005,Platform,Ubisoft,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Jake Power: Handyman,2008,Adventure,Ubisoft,0.06,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
My Dress-Up,2008,Misc,Oxygen Interactive,0.06,0.01,0.0,0.01,0.07,Nintendo DS,Nintendo
Circuit Breakers,1998,Racing,Mindscape,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Trick DS-han: Kakushi Kami no Sumukan,2010,Misc,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Catwoman,2004,Action,Electronic Arts,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Colosseum: Road to Freedom,2005,Role-Playing,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Ultimate Board Game Collection,2007,Misc,Xplosiv,0.06,0.0,0.0,0.01,0.07,PlayStation Portable,Sony
Target: Terror,2008,Shooter,Konami Digital Entertainment,0.06,0.0,0.0,0.01,0.07,Nintendo Wii,Nintendo
BeatMania,2006,Simulation,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,2006,Action,Banpresto,0.0,0.0,0.07,0.0,0.07,Game Boy Advance,Nintendo
Sprint Cars: Road to Knoxville,2005,Racing,THQ,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Shrek's Carnival Craze Party Games,2008,Misc,Activision,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Real Time Conflict: Shogun Empires,2005,Strategy,Namco Bandai Games,0.06,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Dream Dance & Cheer,2009,Misc,Zoo Games,0.06,0.0,0.0,0.0,0.07,Nintendo Wii,Nintendo
Silpheed: The Lost Planet,2000,Shooter,Swing! Entertainment,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Enemy Front,2014,Shooter,City Interactive,0.01,0.05,0.0,0.01,0.07,PlayStation 3,Sony
Assassin's Creed: Rogue,2015,Action,Ubisoft,0.04,0.02,0.0,0.01,0.07,Personal Computer,Various
Billy's Boot Camp: Wii de Enjoy Diet!,2011,Sports,Rocket Company,0.0,0.0,0.07,0.0,0.07,Nintendo Wii,Nintendo
Spartan: Total Warrior,2005,Action,Sega,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Pitfall: The Lost Expedition,2004,Platform,Activision,0.05,0.01,0.0,0.0,0.07,Xbox,Microsoft
Fantastic Four,1997,Action,Acclaim Entertainment,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Higurashi no Naku Koro ni Matsuri: Kakera Asobi,2007,Adventure,Alchemist,0.0,0.0,0.07,0.0,0.07,PlayStation 2,Sony
Tournament of Legends,2010,Fighting,Sega,0.04,0.02,0.0,0.01,0.07,Nintendo Wii,Nintendo
Xbox Live Arcade Unplugged Volume 1,2006,Misc,Microsoft Game Studios,0.05,0.01,0.0,0.01,0.07,Xbox 360,Microsoft
River City Ransom EX,2004,Action,Atlus,0.05,0.02,0.0,0.0,0.07,Game Boy Advance,Nintendo
San Goku Shi Taisen Ten,2008,Strategy,Sega,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Generator Rex: Agent of Providence,2011,Action,Activision,0.05,0.01,0.0,0.01,0.07,Nintendo DS,Nintendo
Dynasty Warriors 8: Empires,2014,Action,Tecmo Koei,0.04,0.02,0.0,0.01,0.07,Xbox One,Microsoft
Fairy Tail: Zelef Kakusei,2012,Action,Unknown,0.0,0.0,0.07,0.0,0.07,PlayStation Portable,Sony
Strike Point,1996,Simulation,Elite,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Crazy Taxi 2,2001,Racing,Sega,0.0,0.0,0.07,0.0,0.07,Dreamcast,Sega
Dragon Slayer: The Legend of Heroes,1992,Role-Playing,Epoch,0.0,0.0,0.07,0.0,0.07,Super Nintendo Entertainment System,Nintendo
Tank! Tank! Tank!,2012,Action,Namco Bandai Games,0.02,0.01,0.05,0.0,0.07,Nintendo Wii U,Nintendo
My Horse & Me: Riding for Gold,2008,Sports,Atari,0.05,0.01,0.0,0.01,0.07,Nintendo DS,Nintendo
Street Fighter II': Special Champion Edition (JP weekly sales),1993,Action,Capcom,0.0,0.0,0.07,0.0,0.07,Genesis (Mega Drive),Sega
Command & Conquer 3: Tiberium Wars,2007,Strategy,Electronic Arts,0.0,0.06,0.0,0.01,0.07,Personal Computer,Various
Tom and Jerry in War of the Whiskers,2003,Fighting,NewKidCo,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Famicom Mini: Wrecking Crew,2004,Puzzle,Nintendo,0.0,0.0,0.07,0.0,0.07,Game Boy Advance,Nintendo
Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,2014,Action,Nippon Columbia,0.0,0.0,0.07,0.0,0.07,Nintendo 3DS,Nintendo
Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.04,0.02,0.0,0.01,0.07,Xbox One,Microsoft
Suzumiya Haruhi no Gekidou,2009,Adventure,Kadokawa Shoten,0.0,0.0,0.07,0.0,0.07,Nintendo Wii,Nintendo
Classic Action: Devilish,2005,Misc,505 Games,0.06,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Jackass the Game DS,2008,Action,Empire Interactive,0.06,0.0,0.0,0.01,0.07,Nintendo DS,Nintendo
Space Hulk: Vengeance of the Blood Angels,1995,Shooter,Electronic Arts,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Toy Soldiers: War Chest,2015,Action,Ubisoft,0.06,0.0,0.0,0.01,0.07,PlayStation 4,Sony
Robot Alchemic Drive,2002,Action,Enix Corporation,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Motor Toon Grand Prix (Japan),1994,Racing,Sony Computer Entertainment,0.0,0.0,0.06,0.0,0.07,PlayStation,Sony
Dino Master: Dig Discover Duel,2005,Strategy,Majesco Entertainment,0.06,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Ken to Mahou to Gakuen Mono. 3,2010,Role-Playing,Acquire,0.0,0.0,0.07,0.0,0.07,PlayStation 3,Sony
Hikaru no Go: Heian Gensou Ibunroku,2002,Adventure,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.07,PlayStation,Sony
Godzilla (2014),2014,Action,Namco Bandai Games,0.0,0.01,0.06,0.0,0.07,PlayStation 3,Sony
Dynasty Warriors DS: Fighter's Battle,2007,Action,Tecmo Koei,0.04,0.0,0.03,0.0,0.07,Nintendo DS,Nintendo
Samurai Shodown,1993,Fighting,SNK,0.0,0.0,0.07,0.0,0.07,Neo Geo,SNK
OverBlood 2,1998,Action,Evolution Games,0.0,0.0,0.06,0.0,0.07,PlayStation,Sony
Fighter Maker 2,2002,Fighting,Enterbrain,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Lifeline,2003,Adventure,Sony Computer Entertainment,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Dragon Valor,1999,Role-Playing,Sony Computer Entertainment,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Judie no Atelier: Guramnat no Renkinjutsushi,2002,Role-Playing,Gust,0.0,0.0,0.07,0.0,0.07,PlayStation 2,Sony
NHL 2005,2004,Sports,Electronic Arts,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Midway Arcade Treasures 3,2005,Misc,Midway Games,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Moshi Monsters: Katsuma Unleashed,2013,Action,Activision,0.03,0.04,0.0,0.0,0.07,Nintendo 3DS,Nintendo
Firefighter F.D.18,2004,Action,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Resident Evil 5,2009,Action,Capcom,0.01,0.04,0.0,0.01,0.07,Personal Computer,Various
Secret Files: Tunguska,2008,Adventure,Koch Media,0.05,0.02,0.0,0.01,0.07,Nintendo Wii,Nintendo
DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage,2008,Adventure,Tecmo Koei,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Pro Yaky? Spirits 2014,2014,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,PlayStation Vita,Sony
Mega Man X4,1997,Action,Capcom,0.0,0.0,0.07,0.0,0.07,Sega Saturn,Sega
Family Trainer: Treasure Adventure,2010,Sports,Namco Bandai Games,0.0,0.06,0.0,0.01,0.07,Nintendo Wii,Nintendo
GRID 2,2013,Racing,Codemasters,0.0,0.06,0.0,0.01,0.07,Personal Computer,Various
Power Pro GB,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,Game Boy,Nintendo
Sudoku Fever,2006,Puzzle,Take-Two Interactive,0.05,0.02,0.0,0.0,0.07,Game Boy Advance,Nintendo
Grand Ages: Medieval,2015,Strategy,Kalypso Media,0.0,0.05,0.01,0.01,0.07,PlayStation 4,Sony
The Putter Golf,2001,Sports,D3Publisher,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Monster High: New Ghoul in School,2015,Action,Little Orbit,0.0,0.06,0.0,0.01,0.07,PlayStation 3,Sony
The Powerpuff Girls: Relish Rampage,2002,Action,BAM! Entertainment,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Super Real Mahjong Graffiti,1995,Misc,Seta Corporation,0.0,0.0,0.07,0.0,0.07,Sega Saturn,Sega
Alan Wake,2012,Action,Nordic Games,0.0,0.06,0.0,0.01,0.07,Personal Computer,Various
Ninja Warriors,1993,Action,Titus,0.0,0.0,0.07,0.0,0.07,Super Nintendo Entertainment System,Nintendo
Army Men: RTS,2004,Strategy,Global Star,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Zettai Onkan Otoda Master,2007,Role-Playing,Hudson Soft,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Basketball Hall of Fame Ultimate Hoops Challenge,2010,Sports,Zoo Games,0.06,0.0,0.0,0.0,0.07,Nintendo Wii,Nintendo
Dragoneer's Aria,2007,Role-Playing,Tecmo Koei,0.02,0.0,0.05,0.0,0.07,PlayStation Portable,Sony
TigerShark,1997,Simulation,GT Interactive,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Lost Heroes 2,2015,Action,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,Nintendo 3DS,Nintendo
Norse by Norsewest: The Return of the Lost Vikings,1997,Action,Interplay,0.04,0.03,0.0,0.0,0.07,PlayStation,Sony
Just Dance: Disney Party 2,2015,Action,Ubisoft,0.05,0.01,0.0,0.01,0.07,Xbox One,Microsoft
N+,2007,Platform,Atari,0.06,0.0,0.0,0.0,0.07,Nintendo DS,Nintendo
Sega Soccer Slam,2002,Sports,Sega,0.05,0.01,0.0,0.0,0.07,GameCube,Nintendo
Obscure,2004,Adventure,Microids,0.03,0.03,0.0,0.01,0.07,PlayStation 2,Sony
Katekyoo Hitman Reborn! DS: Fate of Heat - Hono no Unmei,2008,Role-Playing,Takara Tomy,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Shin Lucky * Star: Moe Drill ~Tabidachi~,2007,Action,Kadokawa Shoten,0.0,0.0,0.07,0.0,0.07,Nintendo DS,Nintendo
Mario Tennis,2010,Sports,Nintendo,0.0,0.06,0.0,0.01,0.07,Nintendo Wii,Nintendo
Cartoon Network: Punch Time Explosion XL,2011,Fighting,Crave Entertainment,0.06,0.0,0.0,0.0,0.07,PlayStation 3,Sony
